usage_date,region,provider,service,cost_usd,usage_hours,request_count
2026-06-01,ap-northeast-1,gcp,kubernetes,29.33,128.9,202646
2026-06-01,ap-southeast-1,aws,database,127.71,337.7,216643
2026-06-01,ap-southeast-1,azure,compute,111.02,307.0,507435
2026-06-01,eu-west-1,ncp,network,15.65,134.9,56821
2026-06-01,us-west-2,aws,network,21.05,250.1,233676
2026-06-02,ap-northeast-1,ncp,kubernetes,50.9,270.1,359722
2026-06-03,ap-northeast-2,aws,kubernetes,162.96,691.3,380797
2026-06-03,ap-southeast-1,aws,compute,41.87,81.0,73316
2026-06-04,eu-west-1,aws,object-storage,6.51,252.9,515204
2026-06-08,us-east-1,aws,object-storage,11.53,615.8,462272
2026-06-09,ap-northeast-2,aws,database,96.32,251.9,501507
2026-06-09,ap-northeast-2,azure,database,13.47,52.1,323474
2026-06-09,us-west-2,azure,network,29.97,403.2,67107
2026-06-13,ap-southeast-1,gcp,compute,308.61,579.0,567545
2026-06-13,eu-west-1,azure,compute,341.32,660.1,455929
2026-06-14,ap-southeast-1,aws,network,29.26,251.5,582669
2026-06-15,ap-northeast-1,gcp,database,153.1,598.6,54997
2026-06-15,ap-northeast-2,ncp,database,44.92,123.5,596515
2026-06-15,ap-southeast-1,azure,network,65.34,585.9,734279
2026-06-15,ap-southeast-1,gcp,database,119.49,443.4,555109
2026-06-16,ap-northeast-2,aws,kubernetes,20.28,83.3,279707
2026-06-16,ap-southeast-1,aws,network,62.37,598.5,11143
2026-06-16,ap-southeast-1,gcp,network,6.35,66.1,19092
2026-06-16,eu-west-1,aws,database,225.02,701.5,494662
2026-06-16,eu-west-1,gcp,object-storage,3.41,170.7,709507
2026-06-16,us-west-2,ncp,object-storage,1.12,37.7,442676
2026-06-16,us-west-2,ncp,object-storage,2.2,71.1,238071
2026-06-17,ap-northeast-2,gcp,object-storage,6.54,285.4,765188
2026-06-17,eu-west-1,gcp,database,51.97,146.0,711849
2026-06-18,ap-northeast-1,gcp,compute,187.46,439.4,187844
2026-06-18,ap-southeast-1,gcp,database,31.73,87.5,860847
2026-06-20,ap-northeast-1,aws,kubernetes,54.09,322.3,750185
2026-06-20,ap-northeast-1,gcp,kubernetes,116.96,526.3,19985
2026-06-21,ap-northeast-2,gcp,kubernetes,96.78,638.3,508690
2026-06-21,us-east-1,aws,object-storage,3.89,121.1,744617
2026-06-22,ap-northeast-2,aws,database,161.85,419.5,211082
2026-06-23,ap-northeast-1,ncp,kubernetes,114.98,493.6,27971
2026-06-24,ap-southeast-1,azure,compute,49.08,89.7,6599
2026-06-24,us-west-2,azure,database,37.94,151.7,545345
2026-06-27,ap-northeast-1,aws,compute,277.14,495.0,528610
2026-06-27,eu-west-1,gcp,network,31.6,292.7,439690
2026-06-28,ap-northeast-1,aws,kubernetes,99.5,536.8,13296
2026-06-28,ap-northeast-2,azure,object-storage,1.64,79.4,94736
2026-06-28,ap-southeast-1,aws,network,47.18,470.7,446730
2026-06-28,eu-west-1,azure,kubernetes,56.97,298.2,172778
